type,id,reference_name,notes
leaderboard,rootsky.ru,Rootsky RU all-time,"classic, score high-to-low, integer"
leaderboard,rootsky.ru.weekly,Rootsky RU weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,slashsky.ru,Slashsky RU all-time,"classic, score high-to-low, integer"
leaderboard,slashsky.ru.weekly,Slashsky RU weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,triviatsky.ru,Triviatsky RU all-time,"classic, score high-to-low, integer"
leaderboard,triviatsky.ru.weekly,Triviatsky RU weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.ru.easy,Snakesky RU easy all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.ru.easy.weekly,Snakesky RU easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.ru.medium,Snakesky RU medium all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.ru.medium.weekly,Snakesky RU medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.ru.hard,Snakesky RU hard all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.ru.hard.weekly,Snakesky RU hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.ru.easy,Tetrisky RU easy all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.ru.easy.weekly,Tetrisky RU easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.ru.medium,Tetrisky RU medium all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.ru.medium.weekly,Tetrisky RU medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.ru.hard,Tetrisky RU hard all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.ru.hard.weekly,Tetrisky RU hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.ru.easy,Scramblisky RU easy all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.ru.easy.weekly,Scramblisky RU easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.ru.medium,Scramblisky RU medium all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.ru.medium.weekly,Scramblisky RU medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.ru.hard,Scramblisky RU hard all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.ru.hard.weekly,Scramblisky RU hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.ru.easy,Bogglesky RU easy all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.ru.easy.weekly,Bogglesky RU easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.ru.medium,Bogglesky RU medium all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.ru.medium.weekly,Bogglesky RU medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.ru.hard,Bogglesky RU hard all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.ru.hard.weekly,Bogglesky RU hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,rootsky.pt_br,Rootsky PT-BR all-time,"classic, score high-to-low, integer"
leaderboard,rootsky.pt_br.weekly,Rootsky PT-BR weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,slashsky.pt_br,Slashsky PT-BR all-time,"classic, score high-to-low, integer"
leaderboard,slashsky.pt_br.weekly,Slashsky PT-BR weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,triviatsky.pt_br,Triviatsky PT-BR all-time,"classic, score high-to-low, integer"
leaderboard,triviatsky.pt_br.weekly,Triviatsky PT-BR weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.pt_br.easy,Snakesky PT-BR easy all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.pt_br.easy.weekly,Snakesky PT-BR easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.pt_br.medium,Snakesky PT-BR medium all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.pt_br.medium.weekly,Snakesky PT-BR medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.pt_br.hard,Snakesky PT-BR hard all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.pt_br.hard.weekly,Snakesky PT-BR hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.pt_br.easy,Tetrisky PT-BR easy all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.pt_br.easy.weekly,Tetrisky PT-BR easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.pt_br.medium,Tetrisky PT-BR medium all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.pt_br.medium.weekly,Tetrisky PT-BR medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.pt_br.hard,Tetrisky PT-BR hard all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.pt_br.hard.weekly,Tetrisky PT-BR hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.pt_br.easy,Scramblisky PT-BR easy all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.pt_br.easy.weekly,Scramblisky PT-BR easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.pt_br.medium,Scramblisky PT-BR medium all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.pt_br.medium.weekly,Scramblisky PT-BR medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.pt_br.hard,Scramblisky PT-BR hard all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.pt_br.hard.weekly,Scramblisky PT-BR hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.pt_br.easy,Bogglesky PT-BR easy all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.pt_br.easy.weekly,Bogglesky PT-BR easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.pt_br.medium,Bogglesky PT-BR medium all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.pt_br.medium.weekly,Bogglesky PT-BR medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.pt_br.hard,Bogglesky PT-BR hard all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.pt_br.hard.weekly,Bogglesky PT-BR hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,rootsky.uk,Rootsky UK all-time,"classic, score high-to-low, integer"
leaderboard,rootsky.uk.weekly,Rootsky UK weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,slashsky.uk,Slashsky UK all-time,"classic, score high-to-low, integer"
leaderboard,slashsky.uk.weekly,Slashsky UK weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,triviatsky.uk,Triviatsky UK all-time,"classic, score high-to-low, integer"
leaderboard,triviatsky.uk.weekly,Triviatsky UK weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.uk.easy,Snakesky UK easy all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.uk.easy.weekly,Snakesky UK easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.uk.medium,Snakesky UK medium all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.uk.medium.weekly,Snakesky UK medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,snakesky.uk.hard,Snakesky UK hard all-time,"classic, score high-to-low, integer"
leaderboard,snakesky.uk.hard.weekly,Snakesky UK hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.uk.easy,Tetrisky UK easy all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.uk.easy.weekly,Tetrisky UK easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.uk.medium,Tetrisky UK medium all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.uk.medium.weekly,Tetrisky UK medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,tetrisky.uk.hard,Tetrisky UK hard all-time,"classic, score high-to-low, integer"
leaderboard,tetrisky.uk.hard.weekly,Tetrisky UK hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.uk.easy,Scramblisky UK easy all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.uk.easy.weekly,Scramblisky UK easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.uk.medium,Scramblisky UK medium all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.uk.medium.weekly,Scramblisky UK medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,scramblisky.uk.hard,Scramblisky UK hard all-time,"classic, score high-to-low, integer"
leaderboard,scramblisky.uk.hard.weekly,Scramblisky UK hard weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.uk.easy,Bogglesky UK easy all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.uk.easy.weekly,Bogglesky UK easy weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.uk.medium,Bogglesky UK medium all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.uk.medium.weekly,Bogglesky UK medium weekly,"RECURRING weekly, score high-to-low, integer"
leaderboard,bogglesky.uk.hard,Bogglesky UK hard all-time,"classic, score high-to-low, integer"
leaderboard,bogglesky.uk.hard.weekly,Bogglesky UK hard weekly,"RECURRING weekly, score high-to-low, integer"
achievement,perfect_rootsky,Perfect Rootsky,A perfect 25/25 Rootsky day
achievement,board_clear,Board Clear,Cleared an entire Bogglesky board before the timer
achievement,scramble_ten,Scramble Ten,Solved 10+ words in one Scramblisky run
achievement,perfect_trivia,Perfect Trivia,5-starred every question of a Triviatsky day
achievement,streak_7,Streak 7,7-day streak
achievement,streak_30,Streak 30,30-day streak
achievement,streak_100,Streak 100,100-day streak
